filename,student_id,grade
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,07580,B
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,07619,A
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,10567,B
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,11488,F
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,12706,C
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,13652,B
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14136,B
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14235,B
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14333,A
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14478,A
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14504,F
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14523,A
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14525,C
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14534,C
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14558,A
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14600,F
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14656,B
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14660,B
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14692,B
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14697,B
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14707,A
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14717,B
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14721,C
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14723,A
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14725,A
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14727,B
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14729,B
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14730,C
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14741,A
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14742,D
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14743,B
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14744,B
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14758,C
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14759,F
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14769,F
IEAP-B Final Grades - 17 Oct 2022_2022AT3E,14770,A
