filename,student_id,grade
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,14593,F
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15283,F
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15292,C
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15294,B
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15295,D
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15298,B
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15299,F
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15303,C
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15308,F
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15339,A
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15340,A
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15344,B
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15345,A
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15363,C
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15364,D
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15371,B
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15377,A
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15378,A
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15382,C
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15386,F
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15400,B
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15401,D
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15406,F
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15412,A
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15415,F
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15429,B
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15430,A
IEAP-Pre B - 17 Feb B Term Final Grades_2023T2E,15435,F
